number,"word	",polarity
1,"سيئ	",-1
2,"كعب	",-1
3,ممتاز,1
4,ماسورة,-1
5,"غالي	",-1
6,"حلو	",1
7,زباله,-1
8,شين,-1
9,ضاغط,-1
10,سجم,-1
11,"شوم	",-1
12,"ضعيف	",-1
13,"زفت	",-1
14,"مناسب	",1
15,"باسطة	",1
16,"افضل	",1
17,"مخستكة	",-1
18,"مابطال	",-1
19,"مبالغة	",1
20,"ماغالية	",1
21,"عواليق	",-1
22,"نجاضة 	",-1
23,ظابط,1
24,رخيص,1
25,"احسن	",1
26,"وهم	",-1
27,"أروع	",1
28,نار,-1
29,"طين	",-1
30,احلي,1
31,سخيف,-1
32,"بايخ	",-1
33,"تحفة	",1
34,"معاط	",-1
35,"معصلج	",-1
36,"مكرفس	",-1
37,"معجن	",-1
38,"مشحتف	",-1
39,"معولق	",-1
40,مدلع,-1
41,لاجئ,-1
42,"خمجان	",-1
43,"خملة	",-1
44,"حردان	",-1
45,"زعلان	",-1
46,"جعار	",-1
47,"خنفس	",-1
48,"رقيق	",1
49,"رمدان	",-1
50,"سنيح	",-1
51,"قبيح	",-1
52,"سجمان	",-1
53,"سهتان	",-1
54,"شرامي	",-1
55,"شليق	",-1
56,"شناف	",-1
57,"صيصة	",-1
58,ضهبان ,-1
59,"عبيط	 ",-1
60,"عنبلوق	 ",-1
61,"غبي	 ",-1
62,غشيم ,-1
63,"قحطان	 ",-1
64,"قملة	 ",-1
65,"قصير	 ",-1
66,قنبط ,1
67,"كركعوبة	 ",-1
68,"كرور	 ",-1
69,"كيشة	 ",-1
70,"لوام	 ",-1
71,"وكاد	 ",-1
72,"وهم	 ",-1
73,"الدقر	 ",-1
74,"الضبعة	 ",-1
75,"الجعران	 ",-1
76,"الشبشة	 ",-1
77,"اصنج	 ",-1
78,"لتيخة	  ",-1
79,عربجي ,-1
80,"دسيس	 ",1
81,انتعش ,1
82,"عبوس	 ",-1
83,ملاك ,1
84,"وا أسفاي	 ",-1
85,"السمح	 ",1
86,سليم ,1
87,"رمدان	 ",-1
88,"مطوفش	  ",-1
89,"خفيف	 ",-1
90,"جرسة	 ",-1
91,مدروخ ,-1
92,"يبرطم	 ",-1
93,"بوبار	 ",-1
94,دغبوج,-1
95,"شجاع	 ",1
96,"ردئ	 ",-1
97,كريم ,1
98,"جواد	 ",1
99,"صبور	 ",1
100,شهم ,1
101,متحشر,-1
102,"هبل	 ",-1
103,كديس ,-1
104,"جربوع	 ",-1
105,"ما شاء الله	 ",1
106,"صاري وشو	 ",-1
107,"ما  فية مثلة	 ",1
108,"زول ساكت	 ",-1
109,"لايفوتك	 ",1
110,"ريح بالك	 ",1
111,"سوداني وبس	 ",1
112,"مابينفع بجنية	 ",-1
113,"الله يديم النعمة	 ",1
114,لا يعلا علية ,1
115,عالم جميل  ,1
116,قاطع وش راس ,-1
117,اتحشي,-1
118,الله يسهل  ,1
119,"الله المستعان	 ",1
120,اطمئني ,1
121,كلو لخير ,1
122,جزاك الله خير  ,1
123,"الله يخليك	 ",1
124,"وهمي	 ",-1
125,عمرك ماحتنجح ,-1
126,"عوير	 ",-1
127,"متالق	 ",1
128,"متكبر	  ",-1
129,"احسنت	 ",1
